filename,imageID,isTarget,url,comments,type,category
sci62.png,I62,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci62.png,,,
sci63.png,I63,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci63.png,,,
sci64.png,I64,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci64.png,,,
sci65.png,I65,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci65.png,,,
sci66.png,I66,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci66.png,,,
sci67.png,I67,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci67.png,,,
sci68.png,I68,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci68.png,,,
sci69.png,I69,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci69.png,,,
sci70.png,I70,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci70.png,,,
sci71.png,I71,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci71.png,,,
sci72.png,I72,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci72.png,,,
sci73.png,I73,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci73.png,,,
sci74.png,I74,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci74.png,,,
sci75.png,I75,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci75.png,,,
sci76.png,I76,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci76.png,,,
sci77.png,I77,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci77.png,,,
sci78.png,I78,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci78.png,,,
sci79.png,I79,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci79.png,,,
sci80.png,I80,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci80.png,,,
sci81.png,I81,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci81.png,,,
sci82.png,I82,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci82.png,,,
sci83.png,I83,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci83.png,,,
sci84.png,I84,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci84.png,,,
sci85.png,I85,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci85.png,,,
sci86.png,I86,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci86.png,,,
sci87.png,I87,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci87.png,,,
sci88.png,I88,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci88.png,,,
sci89.png,I89,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci89.png,,,
sci90.png,I90,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci90.png,,,
sci91.png,I91,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci91.png,,,
sci92.png,I92,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci92.png,,,
sci93.png,I93,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci93.png,,,
sci94.png,I94,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci94.png,,,
sci95.png,I95,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci95.png,,,
sci96.png,I96,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci96.png,,,
sci97.png,I97,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci97.png,,,
sci98.png,I98,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci98.png,,,
sci99.png,I99,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci99.png,,,
sci100.png,I100,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci100.png,,,
sci101.png,I101,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci101.png,,,
sci102.png,I102,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci102.png,,,
sci103.png,I103,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci103.png,,,
sci104.png,I104,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci104.png,,,
sci105.png,I105,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci105.png,,,
sci106.png,I106,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci106.png,,,
sci107.png,I107,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci107.png,,,
sci108.png,I108,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci108.png,,,
sci109.png,I109,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci109.png,,,
sci110.png,I110,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci110.png,,,
sci111.png,I111,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci111.png,,,
sci112.png,I112,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci112.png,,,
sci113.png,I113,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci113.png,,,
sci114.png,I114,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci114.png,,,
sci115.png,I115,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci115.png,,,
sci116.png,I116,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci116.png,,,
sci117.png,I117,0,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1K/sci117.png,,,
